2026-05-13 23:40:45.207 | INFO | Main:main | 答题网址: https://onlineexamh5new.zhihuishu.com/stuExamWeb.html#/webExamList/dohomework/409078/exrnZkmx/5JXbZ0Aw/1000011088/1847/0
2026-05-13 23:40:46.333 | INFO | webdriverConfig:_load_cookies | 准备从 D:\desktop\工具\auto-zhihuishu\tools\edgedriver_win64\cookies.json 加载 Cookie，目标域：https://onlineweb.zhihuishu.com/
2026-05-13 23:40:58.450 | INFO | webdriverConfig:_load_cookies | 已加载 10/10 条 Cookie，刷新页面以应用登录态。
2026-05-13 23:41:00.152 | INFO | DeepSeek:__init__ | DeepSeek 初始化完成，模型：deepseek-chat
2026-05-13 23:41:02.033 | INFO | WebEdgeService:run_exam | 已打开答题网址: https://onlineexamh5new.zhihuishu.com/stuExamWeb.html#/webExamList/dohomework/409078/exrnZkmx/5JXbZ0Aw/1000011088/1847/0
2026-05-13 23:41:04.040 | INFO | WebEdgeService:_handle_login | 已登录，继续。
2026-05-13 23:41:09.047 | INFO | WebEdgeService:run_exam | 开始答题流程...
2026-05-13 23:41:09.047 | INFO | WebEdgeService:run_exam | --- 第 1 题 ---
2026-05-13 23:41:09.058 | DEBUG | SolutionService:solve_exam_question | DOM 提取题干: ...
2026-05-13 23:41:09.059 | DEBUG | SolutionService:solve_exam_question | DOM 提取选项数: 0
2026-05-13 23:41:09.059 | WARNING | SolutionService:solve_exam_question | DOM 提取文本不足，回退到截图 OCR。
2026-05-13 23:41:09.997 | DEBUG | SolutionService:ocr_text | OCR提取38行
2026-05-13 23:41:09.998 | DEBUG | SolutionService:solve_exam_question | 最终题目文本: 智慧树「Teenity人工智能原理第二章单元测试暂存作业提交作业名称人工智能原理对应章节第二章成绩类型百分制剩余时间截止时间2026-05-19 23:59:59题目数10总分数216天00时18分说明完成率0%提示：选择题选项顺序为随机排列，若要核对答案，请以选项内容为准第1部分第1部分总题数:1023456789101.【单选题】（2分）从推出结论的途径来划分，推理可分为三种推理方式，以下哪种不属于。A。单调推理B.演绎推理C.缺省推理D.归纳推理题
2026-05-13 23:41:09.999 | INFO | DeepSeek:answer_question | 问题：智慧树「Teenity人工智能原理第二章单元测试暂存作业提交作业名称人工智能原理对应章节第二章成绩类型百分制剩余时间截止时间2026-05-19 23:59:59题目数10总分数216天00时18分说明完成率0%提示：选择题选项顺序为随机排列，若要核对答案，请以选项内容为准第1部分第1部分总题数:1023456789101.【单选题】（2分）从推出结论的途径来划分，推理可分为三种推理方式，以下哪种不属于。A。单调推理B.演绎推理C.缺省推理D.归纳推理题
