2026-05-14 21:32:06.241 | INFO | Main:main | 答题网址: https://onlineexamh5new.zhihuishu.com/stuExamWeb.html#/webExamList/dohomework/409078/yZJG4LKW/y79p4GRe/1000011088/1847/0
2026-05-14 21:32:07.486 | INFO | webdriverConfig:_load_cookies | 准备从 D:\desktop\工具\auto-zhihuishu\tools\edgedriver_win64\cookies.json 加载 Cookie，目标域：https://onlineweb.zhihuishu.com/
2026-05-14 21:32:19.700 | INFO | webdriverConfig:_load_cookies | 已加载 10/10 条 Cookie，刷新页面以应用登录态。
2026-05-14 21:32:20.921 | INFO | DeepSeek:__init__ | DeepSeek 初始化完成，模型：deepseek-chat
2026-05-14 21:32:24.460 | INFO | WebEdgeService:run_exam | 已打开答题网址: https://onlineexamh5new.zhihuishu.com/stuExamWeb.html#/webExamList/dohomework/409078/yZJG4LKW/y79p4GRe/1000011088/1847/0
2026-05-14 21:32:26.482 | WARNING | WebEdgeService:_handle_login | 检测到未登录，请在浏览器窗口内完成登录（扫码或知到APP）。
2026-05-14 21:32:45.383 | INFO | WebEdgeService:_handle_login | 登录成功。
2026-05-14 21:32:45.389 | INFO | WebEdgeService:_save_cookies | 已保存 8 条 Cookie 到 D:\desktop\工具\auto-zhihuishu\tools\edgedriver_win64\cookies.json
2026-05-14 21:32:50.402 | INFO | WebEdgeService:run_exam | 开始答题流程...
2026-05-14 21:32:50.402 | INFO | WebEdgeService:run_exam | --- 第 1 题 ---
2026-05-14 21:33:00.506 | ERROR | WebEdgeService:_solve_current_question | 等待题目区域超时。
2026-05-14 21:33:00.506 | WARNING | WebEdgeService:run_exam | 第 1 题解答失败，尝试跳过。
2026-05-14 21:33:00.519 | INFO | WebEdgeService:_go_next_question | 已触发下一题按钮，等待页面切换...
2026-05-14 21:33:00.523 | INFO | WebEdgeService:_go_next_question | 页面已切换到下一题。
2026-05-14 21:33:02.029 | INFO | WebEdgeService:run_exam | --- 第 2 题 ---
2026-05-14 21:33:11.933 | INFO | WebEdgeService:shutdown | 触发服务关闭：准备先保存 Cookie
2026-05-14 21:33:24.242 | ERROR | WebEdgeService:_save_cookies | 保存 Cookie 失败: HTTPConnectionPool(host='localhost', port=7471): Max retries exceeded with url: /session/77cd300b040e8e7e3d77a5c1bc13104b/cookie (Caused by NewConnectionError("HTTPConnection(host='localhost', port=7471): Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。"))
2026-05-14 21:33:40.502 | INFO | WebEdgeService:shutdown | 浏览器已关闭，退出程序。
